date,description,amount
2025-04-03,WHOLE FOODS MARKET,-82.40
2025-04-05,NETFLIX,-15.99
2025-04-07,UBER TRIP,-14.20
2025-04-08,SHELL GAS STATION,-55.00
2025-04-10,AMAZON PURCHASE,-43.70
2025-04-12,STARBUCKS,-6.80
2025-04-14,PLANET FITNESS,-24.99
2025-04-15,SALARY DEPOSIT,3500.00
2025-04-17,CHIPOTLE,-12.30
2025-04-18,WALMART GROCERY,-67.50
2025-04-20,SPOTIFY,-9.99
2025-04-22,CVS PHARMACY,-28.40
2025-04-24,UBER TRIP,-11.90
2025-04-26,TRADER JOES,-54.20
2025-04-28,ELECTRIC BILL,-95.00
2025-04-30,INTERNET BILL,-59.99
2025-05-02,WHOLE FOODS MARKET,-79.60
2025-05-04,NETFLIX,-15.99
2025-05-05,UBER TRIP,-18.50
2025-05-07,SHELL GAS STATION,-52.00
2025-05-09,AMAZON PURCHASE,-38.20
2025-05-10,STARBUCKS,-7.40
2025-05-12,PLANET FITNESS,-24.99
2025-05-15,SALARY DEPOSIT,3500.00
2025-05-16,MCDONALDS,-9.80
2025-05-17,WALMART GROCERY,-71.30
2025-05-19,SPOTIFY,-9.99
2025-05-20,WALGREENS PHARMACY,-31.20
2025-05-22,LYFT RIDE,-13.60
2025-05-24,TRADER JOES,-58.90
2025-05-26,ELECTRIC BILL,-92.00
2025-05-28,INTERNET BILL,-59.99
2025-05-29,NORDSTROM,-125.00
2025-05-30,APPLE STORE,-199.00
2025-06-01,WHOLE FOODS MARKET,-88.30
2025-06-03,NETFLIX,-15.99
2025-06-04,UBER TRIP,-22.10
2025-06-06,SHELL GAS STATION,-58.00
2025-06-08,AMAZON PURCHASE,-156.80
2025-06-09,STARBUCKS,-8.20
2025-06-10,PLANET FITNESS,-24.99
2025-06-13,CHIPOTLE,-13.50
2025-06-14,FIVE GUYS BURGERS,-18.90
2025-06-15,SALARY DEPOSIT,3500.00
2025-06-16,MACY'S DEPARTMENT,-245.60
2025-06-17,WALMART GROCERY,-74.80
2025-06-18,TARGET SHOPPING,-112.40
2025-06-19,SPOTIFY,-9.99
2025-06-20,URGENT CARE VISIT,-150.00
2025-06-21,LYFT RIDE,-16.30
2025-06-22,TRADER JOES,-61.20
2025-06-23,ELECTRIC BILL,-98.00
2025-06-24,INTERNET BILL,-59.99
2025-06-25,SEPHORA,-89.50
2025-06-26,NORDSTROM,-178.00
2025-06-27,BEST BUY,-320.00
2025-06-28,CHEESECAKE FACTORY,-67.80
2025-06-29,MOVIE THEATER,-32.00
2025-06-30,SUBSCRIPTION BOX,-49.99
